word	level	also	pinyin	pos
一	1		yī	数
一一	6		yīyī	副
一下	1	4	yíxià	数量、（副）
一丝不苟	7		yìsī-bùgǒu	
一举	7		yìjǔ	名、副
一举一动	7		yìjǔ-yídòng	
一举两得	7		yìjǔ-liǎngdé	
一事无成	7		yíshì-wúchéng	
一些	1		yìxiē	数量
一代	5		yídài	名
一会儿	2	3	yíhuìr	数量、（副）
一体	7		yìtǐ	名
一共	3		yígòng	副
一再	6		yízài	副
一切	4		yíqiè	代
一动不动	7		yídòng-búdòng	
一半	1		yíbàn	数
一口气	6		yìkǒuqì	副
一同	6		yìtóng	副
一向	6		yíxiàng	副
一味	7		yíwèi	副
一块儿	3		yíkuàir	名、副
一塌糊涂	7		yìtāhútú	
一声不吭	7		yìshēng-bùkēng	
一头	7		yìtóu	名、副
一如既往	7		yìrú-jìwǎng	
一定	3		yídìng	形、副
一帆风顺	6		yìfān-fēngshùn	
一带	6		yídài	名
一干二净	7		yìgān-èrjìng	
一并	7		yíbìng	副
一应俱全	7		yìyīng-jùquán	
一度	7		yídù	数量、副
一律	6		yílǜ	副
一心	7		yìxīn	副、形
一心一意	7		yìxīn-yíyì	
一成不变	7		yìchéng-búbiàn	
一手	7		yìshǒu	名、副
一技之长	7		yíjìzhīcháng	
一揽子	7		yìlǎnzi	形
一旁	7		yìpáng	名
一无所有	7		yìwúsuǒyǒu	
一无所知	7		yìwúsuǒzhī	
一旦	5		yídàn	副
一早	7		yìzǎo	名
一时	6		yìshí	名、副
一晃	7		yíhuàng	动
一样	3		yíyàng	形
一概	7		yígài	副
一概而论	7		yígài’érlùn	
一模一样	6		yìmú-yíyàng	
一次性	5		yícìxìng	形
一毛不拔	7		yìmáo-bùbá	
一流	6		yīliú	形
一点儿	1		yìdiǎnr	数量
一生	4		yìshēng	名
一目了然	7		yímù-liǎorán	
一直	3		yìzhí	副
一筹莫展	7		yìchóu-mòzhǎn	
一系列	6		yíxìliè	形
一线	7		yīxiàn	名
一经	7		yìjīng	副
一致	5		yízhì	形、副
一般	3		yìbān	形
