character	level
一	1
丁	7
七	1
三	1
上	1
下	1
不	1
与	4
丑	5
专	4
且	3
丙	7
业	3
丛	7
丝	7
丢	3
两	1
丧	6
个	1
中	1
串	6
丸	7
为	1
主	3
举	4
乃	7
久	3
么	1
义	5
之	4
乌	6
乖	7
乙	5
九	1
乞	7
也	1
习	1
书	1
了	1
予	6
二	1
于	3
亏	5
云	4
五	1
井	6
亚	4
亡	6
亦	7
产	4
亩	7
京	4
人	1
亿	5
什	1
仁	7
仇	7
今	1
仓	6
他	1
仗	6
仙	7
代	5
令	5
以	1
仪	6
们	1
仰	6
任	4
份	4
伏	7
伐	7
众	4
会	1
伞	3
伟	5
传	5
伪	7
伯	7
伴	5
似	5
低	4
余	5
佛	5
作	1
你	1
佩	6
使	4
侃	7
例	4
依	5
侧	6
侵	7
俊	7
保	4
信	3
俩	4
俭	7
倒	4
倔	7
倚	7
借	3
债	7
假	3
偏	7
停	4
僵	7
儿	1
兄	4
充	5
克	4
兑	7
党	7
兜	7
入	4
全	3
八	1
六	1
兰	6
共	3
兵	6
其	3
典	3
兹	7
养	3
内	4
册	5
写	1
军	5
农	4
冤	7
冬	3
冰	3
冲	5
况	4
冻	5
净	3
凉	3
凑	7
凝	7
几	1
凡	6
凤	7
凰	7
凶	7
凸	7
击	6
函	7
凿	7
刀	4
分	1
刊	6
刑	7
划	4
刚	3
创	5
刨	7
利	4
制	5
券	6
刻	3
剂	7
剃	7
削	7
剥	7
劈	7
力	3
劝	5
办	3
加	3
务	3
劣	6
助	3
努	3
劫	7
劲	6
劳	5
势	5
勃	7
勒	7
募	7
勺	3
勾	7
勿	7
匀	6
匆	6
化	3
北	3
匠	7
匹	5
区	3
十	1
升	5
午	1
半	1
华	5
卑	7
卓	7
单	3
南	3
卜	7
占	5
卡	3
印	4
卵	7
卸	7
厂	4
压	4
原	4
去	1
县	5
参	3
又	3
叉	5
及	4
反	4
发	3
取	4
受	3
变	3
叠	7
口	1
古	5
句	3
另	4
叫	1
召	5
可	1
台	4
叹	7
叼	7
吁	7
各	4
合	3
吉	6
吊	6
同	1
名	1
后	1
吐	6
向	3
吓	6
吗	1
吞	6
否	4
吨	5
含	5
启	6
吵	5
吹	4
吻	7
吼	7
呆	6
呈	6
呛	7
味	4
呵	7
和	1
咧	7
咬	5
咱	3
咽	7
品	4
哄	7
哈	5
响	3
哑	7
哥	1
哨	7
哭	3
哼	7
唤	7
啃	7
喊	4
喘	7
嗅	7
嘱	7
嚷	7
嚼	7
四	1
团	5
困	4
国	1
图	3
圆	5
圈	6
土	4
圣	7
在	1
地	1
均	5
坑	7
坛	6
坝	7
坟	7
坠	7
坡	6
坦	7
垫	7
垮	7
城	3
基	4
堂	4
堤	7
堪	7
塌	7
墅	7
墓	7
增	4
墨	7
壮	6
声	3
壳	7
处	3
复	3
夏	3
夕	5
多	1
夜	4
够	4
大	1
天	1
央	6
夸	6
夹	6
夺	6
奉	6
契	7
奔	6
套	4
奠	7
女	1
她	1
好	1
如	3
妆	6
妇	5
妈	1
妒	7
妙	6
妥	7
妨	6
姐	1
委	6
姜	7
嫩	7
子	1
孔	7
孕	6
字	1
孤	6
学	1
宁	7
宅	6
宇	7
守	5
安	3
宏	6
宗	7
官	6
宙	7
定	3
宝	5
实	3
审	6
宣	5
宪	7
宰	7
家	1
宽	5
宿	5
寄	4
寸	6
对	1
寺	7
寻	5
导	4
寿	6
将	4
小	1
少	1
尖	6
尘	6
尚	6
尺	5
尿	7
局	5
层	3
屎	7
屡	7
山	3
屿	7
岁	1
岔	7
岗	6
岛	6
岸	6
峡	7
峻	7
崛	7
州	6
巡	7
工	1
巨	5
巩	6
差	3
巴	4
巷	7
币	5
布	5
帆	6
帜	7
带	3
席	5
幢	7
干	3
平	3
年	1
并	4
幻	6
广	4
庄	6
应	3
庙	7
府	5
废	7
度	4
座	4
庭	4
庸	7
廉	7
建	4
异	6
弄	4
弊	7
式	4
弓	7
弘	7
张	3
弦	7
强	4
归	6
当	3
录	5
形	5
彰	7
役	7
径	6
很	1
御	7
德	6
心	3
必	3
忌	7
忍	5
志	4
忠	7
忧	6
念	5
忽	4
态	4
怕	3
怖	7
急	3
性	4
总	3
恒	7
恨	6
恩	7
恳	7
恶	6
悟	7
悦	7
悬	7
悲	6
惨	7
惹	7
愁	6
愈	7
愚	7
愣	7
愧	7
慈	7
慌	7
慨	7
憋	7
懈	7
成	3
我	1
戒	6
或	3
戳	7
扁	7
才	3
扎	6
扑	6
打	1
扔	4
托	6
扛	7
扭	6
扮	5
扯	7
扳	7
承	5
技	4
抄	6
把	3
抑	6
抓	5
抖	7
抗	6
抚	7
抛	6
抠	7
抡	7
护	3
报	3
披	6
抱	4
抵	6
抹	7
抽	5
拄	7
拉	4
拌	7
拎	7
拐	6
拓	7
拔	6
拖	5
拟	6
拣	7
拦	6
括	5
拱	7
拳	7
拴	7
拼	5
拽	7
挂	4
指	4
挎	7
挑	5
挠	7
挡	5
挤	5
挥	5
挨	7
挪	7
振	7
挺	3
挽	7
捂	7
捅	7
捆	7
捎	7
捏	7
捞	7
换	3
捶	7
掀	7
掉	4
掐	7
排	4
掘	7
推	4
掩	7
掰	7
掺	7
揉	7
揍	7
揣	7
揪	7
揭	7
揽	7
搀	7
搁	7
搂	7
搅	7
搏	7
搓	7
搞	5
摆	6
摊	7
撕	7
撬	7
撰	7
撵	7
撼	7
擎	7
攀	7
攒	7
支	4
收	3
改	4
攻	6
放	3
政	5
故	3
敌	5
敢	4
敷	7
文	1
斗	5
斤	3
斩	7
断	4
方	3
无	4
日	1
旦	5
旨	7
旬	6
旱	6
时	1
旺	7
昂	6
昌	7
昏	7
映	5
春	3
昧	7
是	1
显	5
晃	7
晒	5
晕	6
晨	4
普	4
晶	7
暨	7
曝	7
曰	7
曲	5
更	3
月	1
有	1
未	5
术	4
朴	6
杀	6
权	5
杆	7
李	3
村	4
来	1
杰	6
板	3
构	5
析	5
枚	7
枝	6
枣	7
枪	6
架	5
某	5
柜	5
查	3
标	4
树	3
栽	7
框	7
桑	7
桨	7
桩	7
梳	7
棚	7
榨	7
槛	7
欠	5
止	4
此	4
武	5
段	3
毁	7
比	1
毛	3
民	4
氛	6
永	4
求	3
汉	1
江	4
汤	4
汰	6
汽	3
沃	6
沉	5
沏	7
没	1
河	3
沸	7
油	4
治	5
沾	7
泄	7
泊	7
泌	7
法	3
泡	6
波	7
泥	6
泪	5
泻	7
活	3
派	5
流	4
测	5
济	4
海	3
涂	7
涝	7
涮	7
涯	7
淀	7
淌	7
深	4
渗	7
渣	7
温	4
渴	3
湖	5
溅	7
溜	7
溢	7
溪	7
滋	7
滞	7
滩	7
漆	7
灌	7
灭	6
灯	3
灶	7
灾	6
灿	7
炎	6
炖	7
炭	7
炮	7
点	1
烈	5
烘	7
烛	7
烦	4
烹	7
焕	7
煌	7
煎	7
煲	7
熏	7
熟	4
熨	7
爱	1
父	4
爸	1
爹	7
爽	7
片	3
版	5
牌	4
牙	3
牢	6
牧	7
物	3
牲	7
特	3
牺	7
犯	6
状	5
独	5
狭	7
猎	7
猛	7
猪	5
玄	7
玉	5
现	1
瓜	3
瓦	7
瓶	3
甘	7
生	1
用	3
甩	7
由	4
甲	5
男	1
畅	6
畏	7
畔	7
畴	7
疏	7
疗	5
疤	7
疯	5
痛	4
痰	7
痴	7
瘤	7
瘫	7
瘸	7
瘾	7
癌	7
百	1
的	1
皆	7
皇	6
皱	7
盆	5
盈	7
益	5
盏	7
盗	7
盟	7
目	3
盯	7
盲	6
直	3
相	3
盼	6
省	4
眯	7
瞅	7
瞎	7
瞒	7
瞧	6
瞪	7
矣	7
石	5
研	4
砸	7
确	4
碑	7
碟	7
碰	5
磅	7
磕	7
磨	7
示	4
礼	3
社	4
神	5
祭	7
禾	7
私	5
秃	7
秋	3
种	3
科	4
秘	5
秤	7
称	5
稀	7
程	4
稠	7
稽	7
穴	7
究	4
空	3
窑	7
窜	7
窝	7
立	5
章	4
竭	7
竹	5
筋	7
筐	7
答	3
策	6
管	4
篇	4
类	5
籽	7
粪	7
粹	7
素	5
纠	6
纤	7
约	4
级	3
纯	6
纱	7
纲	7
纳	6
纵	7
纸	3
纹	7
纽	7
线	4
练	3
组	4
织	5
绊	7
绎	7
绑	7
结	3
绞	7
绣	7
绷	7
绸	7
绽	7
缕	7
编	6
缘	7
缝	7
缠	7
缴	7
缸	7
罕	6
罢	7
罩	7
