character	level
一	1
丁	7
七	1
万	2
丈	2
三	1
上	1
下	1
不	1
与	4
丐	7
丑	5
专	4
且	3
世	3
丘	7
丙	7
业	3
丛	7
东	1
丝	7
丢	3
两	1
严	4
丧	6
个	1
丫	7
中	1
丰	4
串	6
临	5
丸	7
丹	7
为	2
主	3
丽	4
举	4
乃	7
久	3
么	1
义	5
之	4
乌	6
乎	3
乏	5
乐	2
乒	4
乓	4
乖	7
乘	4
乙	5
九	1
乞	7
也	1
习	1
乡	4
书	1
买	1
乱	4
乳	7
了	1
予	6
争	4
事	1
二	1
于	3
亏	5
云	4
互	4
五	1
井	6
亚	4
些	1
亡	6
交	2
亦	7
产	4
亩	7
享	5
京	4
亭	7
亮	1
亲	4
人	1
亿	5
什	1
仁	7
仅	4
仆	7
仇	7
今	1
介	2
仍	4
从	2
仓	6
仔	4
他	1
仗	6
付	4
仙	7
代	5
令	5
以	1
仪	6
们	1
仰	6
仲	7
件	1
价	4
任	4
份	4
仿	5
企	5
伍	5
伏	7
伐	7
休	1
众	4
优	4
伙	4
会	1
伞	3
伟	5
传	5
伤	4
伦	7
伪	7
伯	7
估	4
伴	5
伸	5
伺	7
似	5
但	2
位	2
低	4
住	1
佑	7
体	2
何	4
余	5
佛	5
作	1
你	1
佣	7
佩	6
佳	5
使	4
侃	7
侄	6
侈	7
例	4
侍	7
供	4
依	5
侠	7
侣	7
侥	7
侦	7
侧	6
侨	7
侮	7
侵	7
便	1
促	5
俊	7
俏	7
俗	5
俘	7
保	4
信	3
俩	4
俭	7
修	4
俯	7
俱	6
倍	4
倒	4
倔	7
倘	7
候	1
倚	7
借	3
倡	5
倦	7
债	7
值	4
倾	6
假	3
偏	7
做	1
停	4
健	3
偶	4
偷	6
偿	6
傅	4
傍	5
储	6
催	5
傲	4
傻	5
像	3
僚	7
僧	7
僵	7
僻	7
儿	1
兀	7
允	4
元	1
兄	4
充	5
兆	7
先	1
光	4
克	4
免	4
兑	7
兔	5
党	7
兜	7
兢	7
入	4
全	3
八	1
公	1
六	1
兰	6
共	3
关	1
兴	1
兵	6
其	3
具	4
典	3
兹	7
养	3
兼	6
兽	7
内	4
册	5
再	1
冒	3
冗	7
写	1
军	5
农	4
冠	5
冤	7
冬	3
冰	3
冲	5
决	3
况	4
冶	7
冷	1
冻	5
净	3
凄	7
准	2
凉	3
凋	7
凌	3
减	4
凑	7
凝	7
几	1
凡	6
凤	7
凭	5
凯	7
凰	7
凳	7
凶	7
凸	7
凹	7
出	1
击	6
函	7
凿	7
刀	4
刁	7
分	1
切	4
刊	6
刑	7
划	4
列	4
则	4
刚	3
创	5
初	3
删	5
判	4
刨	7
利	4
别	2
刮	3
到	1
制	5
刷	3
券	6
刹	6
刺	5
刻	3
剂	7
剃	7
削	7
前	1
剑	6
剔	7
剖	7
剥	7
剧	4
剩	4
剪	5
副	5
割	6
劈	7
力	3
劝	5
办	3
功	4
加	3
务	3
劣	6
动	2
助	3
努	3
劫	7
励	4
劲	6
劳	5
势	5
勃	7
勇	4
勉	6
勋	7
勒	7
勘	7
募	7
勤	5
勺	3
勾	7
勿	7
匀	6
包	1
匆	6
化	3
北	3
匙	4
匠	7
匪	7
匹	5
区	3
医	1
匿	7
十	1
千	1
升	5
午	1
卉	7
半	1
华	5
协	5
卑	7
卓	7
单	3
卖	1
南	3
博	4
卜	7
占	5
卡	3
卤	7
卦	7
卧	5
卫	3
印	4
危	4
即	4
却	4
卵	7
卷	5
卸	7
厂	4
厄	7
厅	4
历	3
厉	4
压	4
厌	4
厕	4
厘	5
厚	4
原	4
厢	5
厦	5
厨	4
去	1
县	5
参	3
又	3
叉	5
及	4
友	1
双	3
反	4
发	3
叔	3
取	4
受	3
变	3
叙	6
叛	7
叠	7
口	1
古	5
句	3
另	4
叨	7
只	1
叫	1
召	5
叭	7
叮	7
可	1
台	4
史	3
右	2
叶	4
号	1
司	1
叹	7
叼	7
吁	7
吃	1
各	4
合	3
吉	6
吊	6
同	1
名	1
后	1
吏	7
吐	6
向	3
吓	6
吗	1
君	7
吝	7
吞	6
吟	7
否	4
吧	1
吨	5
吩	7
含	5
听	1
吭	7
启	6
吵	5
吸	4
吹	4
吻	7
吼	7
呀	5
呆	6
呈	6
告	2
呐	7
呕	7
员	3
呛	7
呜	7
呢	1
周	2
味	4
呵	7
呻	7
呼	4
命	4
咀	7
和	1
咐	7
咕	7
咖	2
咙	7
咧	7
咨	5
咬	5
咱	3
咳	4
咸	4
咽	7
哀	7
品	4
哄	7
哆	7
哇	6
哈	5
响	3
哎	5
哑	7
哗	7
哥	1
哦	5
哨	7
哪	1
哭	3
哲	5
哺	7
哼	7
哽	7
唆	7
唇	7
唉	5
唐	7
唠	7
唤	7
唬	7
售	4
唯	5
唱	1
唾	7
啃	7
商	1
啊	2
啡	2
啤	3
啦	6
啬	7
啰	7
啸	7
喂	1
善	5
喇	7
喉	7
喊	4
喘	7
喜	1
喝	1
喧	7
喷	6
喻	5
嗅	7
嗓	6
嗜	7
嗦	7
嗯	4
嗽	4
嘀	7
嘈	7
嘉	5
嘛	6
嘱	7
嘲	6
嘴	3
嘿	6
器	5
噩	7
噪	6
嚏	7
嚣	7
嚷	7
嚼	7
囊	7
囚	7
四	1
回	1
因	2
团	5
园	3
困	4
囱	7
围	4
固	5
国	1
图	3
圆	5
圈	6
土	4
圣	7
在	1
地	2
场	2
圾	4
址	4
均	5
坊	7
坎	7
坏	2
坐	1
坑	7
块	1
坚	3
坛	6
坝	7
坟	7
坠	7
坡	6
坦	7
坪	7
坷	7
垂	6
垃	4
垄	7
型	5
垒	7
垦	7
垫	7
垮	7
埋	6
城	3
域	5
培	5
基	4
堂	4
堆	5
堕	7
堡	7
堤	7
堪	7
堵	4
塌	7
塑	4
塔	6
塘	7
塞	6
填	4
境	3
墅	7
墓	7
墙	5
增	4
墟	7
墨	7
壁	6
壤	6
士	1
壮	6
声	3
壳	7
壶	6
处	3
备	2
复	3
夏	3
夕	5
外	1
多	1
夜	4
够	4
大	1
天	1
太	1
夫	2
央	6
夯	7
失	4
头	2
夷	7
夸	6
夹	6
夺	6
奇	3
奈	5
奉	6
奋	4
奏	6
契	7
奔	6
奖	4
套	4
奚	7
奠	7
奢	7
奥	7
女	1
奴	7
奶	1
奸	7
她	1
好	1
如	3
妄	7
妆	6
妇	5
妈	1
妒	7
妖	7
妙	6
妥	7
妨	6
妹	1
妻	2
姆	7
始	2
姐	1
姑	4
姓	2
委	6
姜	7
姥	5
姨	3
姻	6
姿	5
威	5
娃	6
娇	7
娘	4
娱	5
娶	6
婆	5
婉	7
婚	3
婪	7
婴	6
婿	7
媒	5
媚	7
媲	7
媳	6
嫁	6
嫂	7
嫉	7
嫌	6
嫩	7
嬉	7
子	1
孔	7
孕	6
字	1
存	4
孙	4
孝	7
季	3
孤	6
学	1
孩	1
孪	7
孵	7
宁	7
它	1
宅	6
宇	7
守	5
安	3
完	2
宏	6
宗	7
官	6
宙	7
定	3
宜	1
宝	5
实	3
宠	5
审	6
客	1
宣	5
室	2
宪	7
宫	6
宰	7
害	3
宴	6
宵	6
家	1
容	3
宽	5
宾	3
宿	5
寂	6
寄	4
密	4
富	4
寐	7
寒	4
寓	5
寝	7
寞	6
察	4
寡	7
寥	7
寨	7
寸	6
对	1
寺	7
寻	5
导	4
寿	6
封	3
射	6
将	4
尊	4
小	1
少	1
尔	4
尖	6
尘	6
尚	6
尝	3
尤	4
尬	6
就	2
尴	6
尸	7
尺	5
尽	4
尾	5
尿	7
局	5
屁	7
层	3
居	3
屈	6
屉	7
届	5
屋	3
屎	7
屏	5
屑	7
展	3
属	5
屠	7
屡	7
履	6
山	3
屹	7
屿	7
岁	1
岂	7
岔	7
岖	7
岗	6
岛	6
岩	7
岭	7
岳	7
岸	6
峙	7
峡	7
峭	7
峰	6
峻	7
崇	6
崎	7
崖	7
崛	7
崩	7
崭	6
嵌	7
巅	7
川	7
州	6
巡	7
巢	7
工	1
左	2
巧	4
巨	5
巩	6
差	3
己	2
已	2
巴	4
巷	7
巾	4
币	5
市	1
布	5
帅	4
帆	6
师	1
希	2
帐	7
帕	7
帖	7
帘	7
帚	7
帜	7
帝	6
带	3
席	5
帮	2
帷	7
常	1
帽	4
幄	7
幅	4
幕	5
幢	7
干	3
平	3
年	1
并	4
幸	4
幻	6
幼	5
幽	4
广	4
庄	6
庆	4
庇	7
床	1
序	4
库	5
应	3
底	4
