# Traditional-to-Simplified pairs, restricted to characters the shipped
# HSK inventories grade. NOT a general converter -- no phrase table, no
# context resolution, and anything outside the inventory is left alone.
# For real conversion use OpenCC, from which these pairs are derived.
#
# Derived from OpenCC (https://github.com/BYVoid/OpenCC), Apache-2.0.
#
# 1368 pairs, covering an inventory of 3143 characters.
#
# CONVERSION IS MANY-TO-ONE, and this is the number that matters:
#   106 simplified inventory characters have more than one traditional
#   preimage, absorbing 122 extra traditional forms between them.
#   A traditional reader distinguishing 乾 / 幹 / 榦 is credited with the
#   single character 干. Coverage against a simplified inventory is
#   therefore an UPPER BOUND for traditional text, over-crediting by at
#   most those 122 forms.
#
traditional	simplified
丟	丢
並	并
乾	干
亂	乱
亞	亚
佈	布
佔	占
併	并
來	来
侶	侣
侷	局
係	系
俠	侠
俬	私
倆	俩
倉	仓
個	个
們	们
倖	幸
倫	伦
偉	伟
側	侧
偵	侦
偽	伪
傑	杰
傘	伞
備	备
傢	家
傭	佣
傳	传
債	债
傷	伤
傾	倾
僅	仅
僑	侨
僕	仆
僞	伪
僥	侥
僱	雇
價	价
儀	仪
儁	俊
億	亿
儉	俭
儘	尽
償	偿
優	优
儲	储
兇	凶
兌	兑
兒	儿
內	内
兩	两
冊	册
凈	净
凍	冻
凱	凯
別	别
刪	删
則	则
剋	克
剎	刹
剛	刚
剝	剥
創	创
剷	铲
劃	划
劇	剧
劉	刘
劍	剑
劑	剂
勁	劲
動	动
務	务
勛	勋
勝	胜
勞	劳
勢	势
勳	勋
勵	励
勸	劝
勻	匀
匯	汇
區	区
協	协
卹	恤
卻	却
卽	即
厠	厕
厤	历
厭	厌
厲	厉
參	参
叢	丛
吳	吴
吶	呐
呂	吕
員	员
唸	念
問	问
啓	启
啞	哑
啟	启
喚	唤
喪	丧
喫	吃
喬	乔
單	单
嗆	呛
嗇	啬
嗎	吗
嗚	呜
嘆	叹
嘔	呕
嘗	尝
嘩	哗
嘮	唠
嘯	啸
噁	恶
噴	喷
噸	吨
噹	当
嚇	吓
嚐	尝
嚥	咽
嚨	咙
嚮	向
嚴	严
囂	嚣
囉	啰
囌	苏
囑	嘱
囪	囱
國	国
圍	围
園	园
圓	圆
圖	图
團	团
垻	坝
埰	采
執	执
堅	坚
報	报
場	场
塊	块
塗	涂
塵	尘
墊	垫
墜	坠
墮	堕
墰	坛
墳	坟
墻	墙
墾	垦
壇	坛
壓	压
壘	垒
壜	坛
壞	坏
壟	垄
壩	坝
壯	壮
壺	壶
壽	寿
夠	够
夢	梦
夥	伙
夾	夹
奧	奥
奪	夺
奬	奖
奮	奋
妝	妆
姦	奸
娛	娱
婦	妇
媽	妈
嬌	娇
嬰	婴
孃	娘
孫	孙
學	学
孿	孪
宮	宫
寀	采
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
屆	届
屍	尸
屜	屉
屢	屡
層	层
屬	属
岡	冈
峯	峰
島	岛
峽	峡
崑	昆
崗	岗
嵗	岁
嶄	崭
嶇	岖
嶺	岭
嶼	屿
嶽	岳
巔	巅
巖	岩
帥	帅
師	师
帳	帐
帶	带
幟	帜
幣	币
幫	帮
幷	并
幹	干
幾	几
庫	库
廁	厕
廂	厢
廈	厦
廕	荫
廚	厨
廟	庙
廠	厂
廢	废
廣	广
廳	厅
弔	吊
張	张
強	强
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彫	雕
彿	佛
後	后
徑	径
從	从
復	复
徵	征
徹	彻
恆	恒
恥	耻
悅	悦
悶	闷
悽	凄
惡	恶
惱	恼
愛	爱
愜	惬
態	态
慘	惨
慚	惭
慣	惯
慫	怂
慮	虑
慶	庆
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憚	惮
憤	愤
憲	宪
憶	忆
懇	恳
應	应
懞	蒙
懲	惩
懶	懒
懷	怀
懸	悬
懼	惧
懾	慑
戀	恋
戰	战
戲	戏
戶	户
扞	捍
拋	抛
拚	拼
挾	挟
捨	舍
捱	挨
捲	卷
掃	扫
掄	抡
掙	挣
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
損	损
搖	摇
搗	捣
搧	扇
搶	抢
摟	搂
摯	挚
摳	抠
摺	折
摻	掺
撈	捞
撐	撑
撓	挠
撥	拨
撫	抚
撲	扑
撿	捡
擁	拥
擇	择
擊	击
擋	挡
擔	担
據	据
擠	挤
擡	抬
擣	捣
擬	拟
擰	拧
擱	搁
擲	掷
擴	扩
擺	摆
擾	扰
攆	撵
攏	拢
攔	拦
攙	搀
攜	携
攝	摄
攢	攒
攤	摊
